es,var,study_id,factor_1,factor_2,factor_3
-0.293038734649151,0.0361769233005681,4133,Randomized Individual, Cyberbullying, Public
-0.21417188735108,0.0344611273323685,4133,Randomized Individual, Cyberbullying, Public
0.0969433789434153,0.0344025554480219,4133,Randomized Individual, Cyberbullying, Public
0.00662969040854822,0.0244246130772024,4133,Randomized Individual, Cyberbullying, Public
0.249011769654431,0.0245058343138408,4133,Randomized Individual, Cyberbullying, Public
-0.0528235372755823,0.0582078089511902,7508,Randomized Individual, Cyberbullying, Public
0.0748362276382072,0.06249400555433,7508,Randomized Individual, Cyberbullying, Public
-0.151159436905959,0.0707588915583994,7508,Randomized Individual, Cyberbullying, Public
-0.408701653703431,0.0665709734032171,5745,Non-Randomized School, Aggression/Bullying, Mixture
-0.475321666946921,0.0104025853599374,5745,Non-Randomized School, Aggression/Bullying, Mixture
-0.648276663986861,0.0602483256143484,5745,Non-Randomized School, Aggression/Bullying, Mixture
-0.198875005706479,0.00907612210059123,5745,Non-Randomized School, Aggression/Bullying, Mixture
-0.39482715944312,0.0788912020080758,5745,Non-Randomized School, Cyberbullying, Mixture
0.0673099987356438,0.0116582191501187,5745,Non-Randomized School, Cyberbullying, Mixture
-0.41404507691623,0.0756470771522535,5745,Non-Randomized School, Cyberbullying, Mixture
-0.435917783719074,0.0118631046886702,5745,Non-Randomized School, Cyberbullying, Mixture
-0.251945637461956,0.0682980778125,5982,Non-Randomized Class, Cyberbullying, Mixture
-0.290508745236745,0.0684695427864583,5982,Non-Randomized Class, Cyberbullying, Mixture
-0.79747832753771,0.0449790191817309,7668,Non-Randomized Individual, Cyberbullying, Public
0.621664065820731,0.0620325200437171,4803,Non-Randomized Class, Cyberbullying, Public
-0.09,8.7175224516912e-4,1870,Randomized School, Internalizing, Public
-0.13,8.7280387040813e-4,1870,Randomized School, Internalizing, Public
0,0.0025828881426219,1870,Randomized School, Aggression/Bullying, Public
0.0568085233313083,0.00241636826601875,1870,Randomized School, Aggression/Bullying, Public
-0.96,3.7068306465015e-4,7670,Non-Randomized Class, Aggression/Bullying, Mixture
-0.67,3.5104287851088e-4,7670,Non-Randomized Class, Aggression/Bullying, Mixture
-0.74,7.6372408863473e-4,7670,Non-Randomized Class, Relational Aggression, Private
-0.99,8.0236776268763e-4,7670,Non-Randomized Class, Sexual Violence, Private
-0.2,2.7789299046039e-4,7670,Non-Randomized Class, Cyberbullying, Private
-1.38,8.849535382416e-4,7670,Non-Randomized Class, Sexual Violence, Mixture
-0.58,3.7336080257972e-4,7670,Non-Randomized Class, Cyberbullying, Private
